Event ID,Event Name,Event Size,Day,Timeslot,Duration,Original Room,Original Campus,New Room,New Room Capacity,New Campus,Capacity Waste,Tiered Waste,Original Room Type,New Room Type,Room Type Match
E:3534NQWJDQ,TESOL Methodology - Workshop/09,25,Friday,Friday 15:00,120,0551_01_1.37,Holyrood,0300_00_NG.01,36,Central,11,0,Classroom Style,Classroom Style,1
E:2QQAUPS769,Teaching Languages to Young Learners - Workshop/06,23,Tuesday,Tuesday 12:00,110,0558_02_2.3,Holyrood,0228_11_11.10,36,Central,13,0,Classroom Style,Classroom Style,1
E:ALZ9T1G6WP,The Developing Multilingual Learner - Workshop,25,Thursday,Thursday 17:00,110,0558_05_5.11,Holyrood,0424_05_5.21,40,Lauriston,15,0,Classroom Style,Classroom Style,1
E:QU9A29B5FT,Sports Physiology 4 Lecture,22,Monday,Monday 09:00,110,0558_05_5.2,Holyrood,0003_00_G.02,24,Central,2,0,Classroom Style,Classroom Style,1
E:P637HD8VUQ,Sport Science 1B: Biomechanics & Sport Psychology - Tutorial/A,25,Friday,Friday 10:00,50,0551_01_1.27,Holyrood,0423_R_R.02B,27,Lauriston,2,0,Boardroom Style,Boardroom Style,1
E:HJ9225FNRB,SOK/Jite1,20,Tuesday,Tuesday 11:30,90,0564_03_3.16,Holyrood,0228_11_11.10,36,Central,16,0,Classroom Style,Classroom Style,1
E:QSNTNX1IPV,Assessment of Physical Activity and Body Composition - Seminar,40,Monday,Monday 14:00,110,0564_02_2.14,Holyrood,0401_01_1.01,84,New College,44,24,Classroom Style,Classroom Style,1
E:P5DDK3IY39,WBH1 - Problem Based Learning - Group PBL1/A08,15,Thursday,Thursday 15:30,90,0558_05_5.11,Holyrood,0228_04_4.18,25,Central,10,0,Classroom Style,Classroom Style,1
E:NS7OWYUVBZ,CR/Dallas2,20,Monday,Monday 13:00,80,0558_04_4.18,Holyrood,0103_01_1.B10,20,Central,0,0,Classroom Style,Classroom Style,1
E:V2RXRTWD84,The Anthropology of Education and Learning - Workshop/01,30,Monday,Monday 10:00,120,0564_03_3.24,Holyrood,0209_02_2.37,30,Central,0,0,Classroom Style,Classroom Style,1
E:VMNPTNDYXQ,EDS2A - Workshop/C,24,Tuesday,Tuesday 14:00,110,0558_03_3.4,Holyrood,0228_11_11.10,36,Central,12,0,Classroom Style,Classroom Style,1
E:CQUAYOE46L,SOK/Xueting1,20,Monday,Monday 10:00,90,0553_04_422,Holyrood,0401_01M_01M.19,38,New College,18,0,Boardroom Style,Boardroom Style,1
E:7J1DBB4JUY,Domains of Practice 1: Engaging with the literature in Community Learning & Development (CLD) - Lecture,20,Thursday,Thursday 10:00,90,0564_00_G4,Holyrood,0201_01_1.06,300,Central,280,260,Classroom Style,Lecture Theatre,0
E:L95YH4FN3I-00008,Sport Science (Project) 3 - Workshop/09,10,Thursday,Thursday 12:00,50,0591_-1_B1.09,Holyrood,0228_02_2.18,12,Central,2,0,Boardroom Style,Boardroom Style,1
E:PK5D76D2XE-00001,Dimensions of Teaching - Workshop/03,30,Wednesday,Wednesday 10:00,120,0558_03_3.4,Holyrood,0226_-1_LG.19,70,Central,40,20,Classroom Style,Specialist Room,0
E:SXEDN9U9SW,WBH1 - Problem Based Learning - Group PBL1/A07,15,Thursday,Thursday 14:00,80,0558_05_5.11,Holyrood,0228_04_4.18,25,Central,10,0,Classroom Style,Classroom Style,1
E:DZUTVTH3LY,Childhood Studies Work Based Learning 2: Organisational Development Lecture,55,Tuesday,Tuesday 16:30,120,0551_00_G42,Holyrood,0422_J_J.05,60,Central,5,0,Classroom Style,Classroom Style,1
E:GUTB4ZJ4VA,The Philosophy of Education Lecture,200,Monday,Monday 10:00,110,0551_00_G1,Holyrood,0201_01_1.06,300,Central,100,60,Classroom Style,Lecture Theatre,0
E:GTSU5S28GD,CR/Deb2,20,Monday,Monday 16:00,80,0558_04_4.02,Holyrood,0112_-1_B.06,25,Central,5,0,Classroom Style,Classroom Style,1
E:OKZQPGR2PJ,EDS2A Research Methods Engagement - Practical,104,Monday,Monday 13:00,50,0551_-1_LG34,Holyrood,0335_00_G.01,120,Central,16,0,Lecture Theatre,Lecture Theatre,1
