AnonID,Programme,HolyroodGTEvents,TotalEvents,TransitionRecords
Student00518,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,99,2
Student00519,Secondary Education PGDE (Physical Education) (Year 1),15,28,35
Student00520,Secondary Education PGDE (History) (Year 1),19,19,53
Student00522,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,100,3
Student00523,Primary Education PGDE (Year 1),98,146,120
Student00524,Secondary Education PGDE (Design and Technology) (Year 1),7,14,16
Student00526,Childhood Practice (BA Ord) (Year 3),4,4,46
Student00527,"Sport, Physical Education and Health Sciences (Online Learning) (PhD) - 6 Years (Part-Time) (Year 2)",5,5,11
Student00528,Secondary Education PGDE (English) (Year 1),15,16,77
Student00532,Secondary Education PGDE (Physical Education) (Year 1),15,28,35
Student00534,Architecture (MA Hons) (Year 4),2,9,4
Student00535,Childhood Practice (BA Ord) (Year 4),5,5,46
Student00538,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student00543,Education (PhD) (Full-time) (Year 5),4,4,12
Student00545,Childhood Practice (BA Ord) (Year 4),5,5,46
Student00548,Ecological Economics (SAC) (MSc) (Full-time) (Year 1),2,10,11
Student00550,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,101,3
Student00551,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,98,3
Student00552,Environmental Sustainability (MSc) (Full-time) (Year 1),2,23,2
Student00553,Global Mental Health and Society (MSc) - 1 Year (Full-time) (Year 1),3,13,12
Student00556,Medicine (Pre-Clinical) (MBChB) (Year 1),3,195,6
Student00561,Performance Psychology (MSc) (Full-time) (Year 1),41,46,161
Student00562,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,97,3
Student00565,Childhood Practice (BA Ord) (Year 3),4,4,46
Student00566,Teaching English to Speakers of Other Languages (PgDip) (Full-time) (Year 1),12,36,77
Student00573,Inclusive Education (Deaf Learners) (ICL) (PgDip) 1 - 4 years (Year 1),16,18,16
Student00576,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,103,2
Student00591,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,100,2
Student00593,Secondary Education PGDE (Physics) (Year 1),9,14,26
Student00602,Environmental Sustainability (MSc) (Part-time) - 2 Years (Year 1),2,13,2
Student00609,Translation Studies (MSc) (Full-time) (Year 1),1,20,10
Student00615,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,101,3
Student00649,Psychology (BSc Hons) - 4 Years (Full-time) (Year 4),1,11,11
Student00655,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student00667,Secondary Education PGDE (Biology) (Year 1),8,24,25
Student00670,Strength and Conditioning (MSc)  - 1 Year (Full-time) (Year 1),19,20,63
Student00671,Public Policy (MSc) - 1 Year (Full-time) (Year 1),1,14,11
Student00673,Architecture (MA Hons) (Year 4),2,6,4
Student00678,Psychological Therapies (MSc) - 2 Years (Year 1),2,22,4
Student00680,Islamic and Middle Eastern Studies (PhD) (Full-time) (Year 1),1,2,11
Student00682,Professional Legal Practice (PgDip) (Part-time) (Year 1),1,74,1
Student00686,Comparative Education and International Development (CEID) (MSc) - 1 Year (Full-time) (Year 1),16,19,79
Student00694,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,99,3
Student00696,Mental Health in Children and Young People: Psychological Approaches (MSc) - 1 Year (Full-time) (Year 1),2,27,6
Student00704,Mental Health in Children and Young People: Psychological Approaches (MSc) - 1 Year (Full-time) (Year 1),2,27,6
Student00705,Primary Education PGDE (Year 1),96,146,119
Student00706,Law (LLB Ord) (Graduate Entry) (Year 2),3,55,6
Student00707,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,98,2
Student00708,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,104,2
Student00718,Applied Sport Science (BSc Hons) (Year 4),12,17,58
Student00721,"Global Premodern Art: History, Heritage and Curation (MSc) - 1 Year (Full-Time) (Year 1)",1,12,10
Student00724,Secondary Education PGDE (Chemistry) (Year 1),11,24,32
Student00729,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student00730,Fine Art (MA Hons) (Year 5),2,20,2
Student00734,Translation Studies (MSc) (Full-time) (Year 1),1,20,10
Student00737,Education (Philosophy of Education) (MSc) - 1 Year (Year 1),11,15,77
Student00742,Law (LLB Ord) (Graduate Entry) (Year 2),3,54,6
Student00749,Primary Education PGDE (Year 1),96,144,117
Student00750,Primary Education PGDE (Year 1),96,144,117
Student00751,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,103,3
Student00758,Psychological Therapies (MSc) - 2 Years (Year 1),2,22,4
Student00759,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,99,2
Student00760,Medicine (Pre-Clinical) (MBChB) (Year 2),2,163,14
Student00762,Secondary Education PGDE (Physical Education) (Year 1),15,28,35
Student00763,Psychological Therapies (MSc) - 2 Years (Year 2),1,13,1
Student00768,Law (LLB Ord) (Graduate Entry) (Year 2),3,54,6
Student00770,High Performance Computing with Data Science (MSc) (Full-time) (Year 1),2,35,11
Student00771,Secondary Education PGDE (English) (Year 1),16,17,77
Student00774,Counselling (PgDip) - 3 Years (Part-time) (Year 3),6,7,21
Student00775,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,106,3
Student00777,Primary Education PGDE (Year 1),98,146,120
Student00782,Reproductive Biology BSc (Hons) (Year 4),2,30,4
Student00783,Primary Education PGDE (Year 1),96,146,119
Student00789,Painting BA (Hons) (Year 4),1,31,1
Student00791,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,102,3
Student00792,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,25,6
Student00794,Inclusive Education (Deaf Learners) (ICL) (PgDip) 1 - 4 years (Year 1),16,18,16
Student00796,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,98,3
Student00798,Primary Education PGDE (Year 1),96,146,119
Student00799,Professional Legal Practice (PgDip) (Part-time) (Year 2),1,27,1
Student00800,"Transformative Learning and Teaching (Nursery - S3, Generalist) (MSc) - 21 Months (Year 2)",13,14,56
Student00801,Psychological Therapies (MSc) - 2 Years (Year 2),1,13,1
Student00802,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student00804,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student00805,Secondary Education PGDE (Physical Education) (Year 1),17,29,37
Student00806,"Imaging, Vision and High Performance Computing (MSc) (Year 1)",2,15,11
Student00808,Study Abroad/Exchange Programme: Full Year (CAHSS) (Year 1),1,21,1
Student00810,Outdoor Education (ICL) (MSc) - 2-6 Years (Year 6),2,2,2
Student00813,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,104,3
Student00815,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,98,3
Student00821,Professional Legal Practice (PgDip) (Part-time) (Year 2),1,25,1
Student00830,Nursing (BN) (Year 2),6,37,26
Student00832,Secondary Education PGDE (Art and Design) (Year 1),7,18,16
Student00834,Secondary Education PGDE (Music) (Year 1),8,15,25
Student00845,Secondary Education PGDE (German and Italian) (Year 1),15,16,90
Student00846,Psychological Therapies (MSc) - 2 Years (Year 2),1,11,1
Student00847,Psychological Therapies (MSc) - 2 Years (Year 2),1,16,1
Student00851,Geographical Information Science (MSc) (Full-time) (Year 1),1,22,1
Student00854,Painting BA (Hons) (Year 3),2,43,10
Student00855,International Relations and International Law (MA Hons) (Year 4),1,5,1
Student00859,Global Strategy and Sustainability (MSc) - 1 Year (Full-time) (Year 1),2,37,2
Student00862,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,100,2
Student00866,Mathematics and Business BSc (Hons) (Year 3),3,23,10
Student00867,BSc Ordinary Sciences PHY (Year 3),3,28,5
Student00879,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,99,3
Student00880,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,97,3
Student00885,Learning in Communities MA (Hons) (Year 3),9,10,57
Student00886,Law (LLB Ord) (Graduate Entry) (Year 2),3,61,6
Student00887,Leadership and Learning (ICL) (MEd) - 2-6 Years (Year 7),3,3,3
Student00889,East Asian Studies (MSc) (Year 1),1,9,10
Student00894,Earth Observation and Geoinformation Management (MSc) (Full-time) (Year 1),1,16,1
Student00895,Outdoor Education (ICL) (MSc) - 2-6 Years (Year 4),5,10,5
Student00896,Counselling (PgDip) - 3 Years (Part-time) (Year 2),9,9,21
Student00899,Medical Sciences (BSc Hons) (Year 3),4,44,15
Student00903,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student00971,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,25,6
Student01000,Architecture (MA Hons) (Year 4),2,15,4
Student01036,Education (PhD) (Full-time) (Year 4),5,11,26
Student01053,History and Classics (MA Hons) (Year 4),1,13,1
Student01058,International Relations and International Law (MA Hons) (Year 3),2,9,11
Student01061,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,25,6
Student01066,Global Mental Health and Society (MSc) - 1 Year (Full-time) (Year 1),3,15,12
Student01067,Fine Art (MA Hons) (Year 5),2,20,2
Student01072,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,98,2
Student01101,Advanced Care (PhD with Integrated Study) - 4 Years (Full-time) (Year 1),1,14,5
Student01110,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student01171,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,101,3
Student01194,Law (LLB Ord) (Graduate Entry) (Year 2),3,54,6
Student01198,Law (LLB Ord) (Graduate Entry) (Year 2),3,34,6
Student01217,Geoenergy (MSc) - 1 Year (Full-Time) (Year 1),2,23,4
Student01220,Secondary Education PGDE (Biology and Chemistry) (Year 1),10,34,28
Student01221,Education (PhD) (Full-time) (Year 4),2,2,17
Student01224,Psychotherapy and Counselling (DPsych) - 4 Years (Full-time) (Year 2),8,10,30
Student01225,High Performance Computing (MSc) (Full-time) (Year 1),2,31,11
Student01227,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,99,3
Student01228,Intermedia Art BA (Hons) (Year 3),3,19,11
Student01230,Translational Neuroscience (PhD with Integrated Study) - 4 Years (Year 1),2,18,2
Student01233,"Arts, Humanities and Social Science (BA) (AHSS) (PPL) - (Full-time) (Year 3)",1,15,11
Student01238,Law (LLB Ord) (Graduate Entry) (Year 2),3,55,6
Student01240,Secondary Education PGDE (English) (Year 1),16,16,81
Student01241,Economics with Environmental Studies (MA Hons) (Year 3),1,28,1
Student01243,Medicine (Pre-Clinical) (MBChB) (Year 2),1,163,4
Student01248,Secondary Education PGDE (English) (Year 1),14,16,68
Student01255,Education (Early Childhood Practice and Froebel) (MSc) - 2 Years (Part-time) (Year 1),10,13,52
Student01263,Mental Health in Children and Young People: Psychological Approaches (MSc) - 1 Year (Full-time) (Year 1),2,25,6
Student01271,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,95,2
Student01273,Primary Education PGDE (Year 1),96,146,119
Student01284,Medicine (Pre-Clinical) (MBChB) (Year 2),2,163,10
Student01287,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student01290,Secondary Education PGDE (English) (Year 1),16,16,81
Student01292,Secondary Education PGDE (Art and Design) (Year 1),9,18,29
Student01298,Law (LLB Ord) (Graduate Entry) (Year 2),3,55,6
Student01302,Primary Education PGDE (Year 1),96,146,119
Student01305,Psychology of Mental Health (Conversion) (MSc) - 1 Year (Full-time) (Year 1),1,24,6
Student01306,East Asian Studies (MSc) (Year 1),1,7,10
Student01307,Business with Marketing MA (Hons) (Year 4),3,14,10
Student01309,Translation Studies (MSc) (Full-time) (Year 1),1,20,10
Student01311,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,100,3
Student01313,Secondary Education PGDE (Physical Education) (Year 1),15,28,35
Student01319,Law (LLB Ord) (Graduate Entry) (Year 2),3,54,6
Student01321,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,98,3
Student01325,Medicine (Pre-Clinical) (MBChB) (Year 1),1,195,1
Student01326,Childhood Practice (BA Ord) (Year 2),20,20,58
Student01327,Biomedical Sciences BSc (Hons) (Year 4),2,23,2
Student01329,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,103,2
Student01337,Secondary Education PGDE (Physical Education) (Year 1),17,29,37
Student01340,Secondary Education PGDE (French and Spanish) (Year 1),15,16,90
Student01342,Secondary Education PGDE (Art and Design) (Year 1),7,18,16
Student01343,Secondary Education PGDE (Physical Education) (Year 1),15,28,35
Student01347,Ecological Economics (SAC) (MSc) (Full-time) (Year 1),2,16,11
Student01358,Landscape Architecture (MLA) (Year 2),2,24,10
Student01366,Classics (MSc) (Part-time) (Year 2),1,14,1
Student01368,Secondary Education PGDE (Physical Education) (Year 1),17,29,37
Student01373,Strength and Conditioning (MSc) - 2 Years (Part-time) (Year 2),9,9,28
Student01374,Law (LLB Ord) (Graduate Entry) (Year 2),3,54,6
Student01376,Ancient History (MA Hons) (Year 3),1,14,1
Student01377,Nursing (BN Ord) (Year 4),2,9,5
Student01378,Education Studies (MA Hons) (Year 4),6,13,39
Student01381,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,105,3
Student01384,Applied Sport Science (BSc Hons) (Year 4),20,24,79
Student01389,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,98,3
Student01391,"Transformative Learning and Teaching (P5 - S6, English) (MSc) - 21 Months (Year 2)",14,15,46
Student01395,Physics with Year Abroad (MPhys) (Year 5),2,37,11
Student01396,Reproductive Biology BSc (Hons) (Year 4),2,33,4
Student01401,Strength and Conditioning (MSc)  - 1 Year (Full-time) (Year 1),20,21,64
Student01404,Education (PhD) (Full-time) (Year 1),4,7,12
Student01409,Painting BA (Hons) (Year 4),1,31,1
Student01419,Secondary Education PGDE (Design and Technology) (Year 1),9,14,29
Student01420,Professional Legal Practice (PgDip) (Full-time) (Year 1),3,97,3
Student01422,"Access Programme (College of Arts, Humanities and Social Science) (ICL) - 1 Year (Year 1)",5,5,36
Student01424,Professional Legal Practice (PgDip) (Full-time) (Year 1),2,102,2
Student01428,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
Student01443,Economics with Environmental Studies (MA Hons) (Year 4),2,28,2
Student01444,"Sport Policy, Management and International Development (MSC) (Year 1)",17,18,123
Student01452,Painting BA (Hons) (Year 4),1,31,1
Student01454,Law (LLB Ord) (Graduate Entry) (Year 2),3,53,6
