Room,Campus,Capacity,Room Type,Frequency,Occupancy,Utilization
0003_01_1.04,Central,19,Classroom Style,0.2525525525525526,0.914736842105263,0.23101912438754543
0003_01_1.05,Central,12,Boardroom Style,0.19589589589589584,0.9565972222222222,0.18739346985874758
0005_-1_B.01,Central,164,Lecture Theatre,0.252952952952953,0.6817073170731706,0.17243987890329354
0110_02_2.01,Central,25,Classroom Style,0.1984984984984984,0.4194117647058823,0.08325260554672315
0110_02_2.02,Central,15,Boardroom Style,0.13358358358358355,0.4492753623188405,0.060015812914363614
0110_02_2.04,Central,42,Classroom Style,0.23643643643643644,0.7041666666666667,0.16649065732399068
0110_02_2.07,Central,12,Boardroom Style,0.051351351351351354,0.9345238095238095,0.047989060489060494
0201_00_G.05,Central,20,Boardroom Style,0.3195195195195195,0.8512345679012346,0.2719860601342083
0201_01_1.01,Central,20,Boardroom Style,0.33953953953953964,0.8683333333333333,0.2948335001668336
0201_01_1.05,Central,20,Boardroom Style,0.33033033033033044,0.7853448275862068,0.2594232163197681
0201_02_2.04,Central,24,Classroom Style,0.24614614614614622,0.7809139784946239,0.19221896627810617
0201_02_2.05,Central,24,Classroom Style,0.2218218218218219,0.7318840579710144,0.1623478551014783
0201_02_2.06,Central,18,Classroom Style,0.28328328328328317,0.9372759856630821,0.26551461856121333
0201_02_2.07,Central,20,Classroom Style,0.28918918918918923,0.8917910447761194,0.2578963291649859
0201_02_2.11,Central,28,Classroom Style,0.270970970970971,0.7470238095238096,0.2024217670051004
0201_02_2.12,Central,54,Classroom Style,0.2946946946946948,0.8148148148148149,0.24012160308456615
0201_02_2.14,Central,54,Classroom Style,0.2347407407407406,0.6137566137566138,0.14407368214775615
0228_06_6.05,Central,14,Boardroom Style,0.0,0.0,0.0
0228_06_6.10,Central,13,Boardroom Style,0.0,0.0,0.0
0228_06_6.11,Central,24,Classroom Style,0.0,0.0,0.0
0226_00_GF.14,Central,147,Specialist Room,0.3408408408408413,0.6664986982447301,0.22716997672905997
0226_01_1.02,Central,50,Specialist Room,0.25260260260260264,0.5950000000000001,0.1502985485485486
0226_01_1.07,Central,48,Specialist Room,0.3016460905349796,0.715625,0.21586548353909477
0228_08_8.13,Central,15,Boardroom Style,0.0,0.0,0.0
0226_-1_LG.10,Central,72,Specialist Room,0.2695906432748537,0.6272675736961452,0.16910546869820048
0226_-1_LG.11,Central,66,Specialist Room,0.25445445445445436,0.6446540880503145,0.1640351042866766
0226_-1_LG.14,Central,68,Specialist Room,0.22652652652652638,0.58341784989858,0.13215961905109969
0226_-1_LG.18,Central,66,Specialist Room,0.21691691691691678,0.755331088664422,0.16384409100458472
0226_-1_LG.19,Central,70,Specialist Room,0.1963991769547323,0.729183673469388,0.14321107331821606
0112_00_G.01,Central,55,Classroom Style,0.307907907907908,0.5912727272727273,0.1820575484575485
0112_00_G.02,Central,55,Classroom Style,0.397097097097097,0.6644628099173554,0.263856252947162
0112_-1_B.01,Central,35,Classroom Style,0.3138138138138139,0.6869300911854102,0.2155681517383645
